Elem_0,Elem_1,Elem_2,Elem_3,Elem_4,Elem_5,Elem_6,Elem_7,Elem_8,Elem_9
158.6346460730054,169.56853032793904,168.17511551646592,168.90122328256365,165.9216549734843,166.31995589440882,168.37074379835744,169.93631452267712,169.38484260468135,168.45087773755742
157.5948435080748,169.37702305124603,167.5108088125342,169.12844252100183,165.79388619353318,165.16099043399169,167.37740831048094,169.85947272583059,169.32423175184138,168.12539034802035
156.61569487009854,169.17359312013997,166.6937249741621,169.4223084422376,165.55918816752984,163.76546928442968,166.4742665031922,169.73853122045603,169.39284113044215,168.180092137803
155.7093665102468,168.9811505031667,165.5860832232305,169.67960689767386,165.08551000910148,162.51338980081383,165.69894982224127,169.54999471515467,169.58458001214095,168.56508617494103
154.88645218674108,168.7603419628874,164.16848468617522,169.82784561665147,164.5500326330785,161.63282106008162,164.9890113121516,169.28194629303232,169.83565940977823,169.135037972978
154.15602859864066,168.3852631093566,162.74894196985184,169.8913442146992,164.27040623074873,161.05065851405598,164.39900692716165,168.87148956267714,169.99437166795556,169.69615008832687
153.52573010829357,167.7507791789474,161.69158972852728,169.92667817881767,164.3162245664216,160.78473988851107,163.8991528756918,168.24543965658495,169.8902487836825,169.99430757773814
153.00183210429262,166.96785637670826,160.80619018639965,169.95534151978475,164.58284929531246,160.95090882333983,163.363303428076,167.36764647546661,169.34947141441998,169.77045609068787
152.58933433851107,166.3437441750425,159.62213303346624,169.98123543924868,165.03395012595058,161.4261462109281,162.81267307557536,166.16680102351188,168.21805378902624,168.826338327115
152.29203737938772,166.02806916389676,158.19582640093128,169.9995368705935,165.58986489919556,161.98798156378825,162.32412004207643,164.5793343414896,166.40021271202193,167.04149049957678
152.11260696419632,165.9229210926171,156.97774635394728,169.89978961404742,166.27194529324447,162.46381487788523,161.83575663258705,162.66854883617816,163.84344060933805,164.37720907086108
152.0526224699857,165.95319272649323,156.004396873283,169.52308882379768,167.23479289609955,162.75879084063146,161.17659926789264,160.577490965732,160.59056827440003,160.88232351330126
152.11260696419632,166.0817031860957,155.04203294389976,168.86825132134132,168.34747652384664,163.0833019825879,160.1305932225669,158.32500070754324,156.90838345212887,156.53633171953098
152.29203737938772,166.20334366081184,154.116078940973,167.95512041523025,169.2481750705607,163.70993512541312,158.7038484506118,155.71209396066845,153.09307044772913,151.61956667196353
152.58933433851104,166.22616292221323,153.2656045264089,166.79358500395034,169.78683785711266,164.56375425039025,157.28567876098086,152.5193905593059,149.12004977999666,146.9335224053896
153.00183210429262,166.1312745034238,152.32736175098404,165.5150177088833,169.9946152159228,165.39333316999446,156.22598827601362,148.84038969626312,144.81762891683076,143.0379236880606
153.52573010829357,165.90464893801374,151.19409651855705,164.22320741568478,169.9207735937645,166.13477758219688,155.43708507523417,145.1373918823853,140.26149851966528,139.60039853689332
154.15602859864066,165.51341089419225,149.91464582808422,162.88981938938056,169.66807743797617,166.8192960898922,154.61696867727903,141.85965706506988,135.91842961833544,135.59792704576174
154.88645218674108,164.9489110094105,148.50382961120323,161.50784520499153,169.32082291781376,167.3101996080859,153.78015000436747,139.21361871962,132.0966516834798,130.51228121416526
155.7093665102468,164.2337256066612,146.9292004085479,160.090624981643,168.903937106497,167.49408127875284,153.11448595971697,137.3252933202362,128.49451327444316,125.20792156409263
156.61569487009854,163.4040889137972,145.21596924562394,158.50562156745443,168.52189460644578,167.4639214054567,152.68138055426806,136.04832687123348,124.92948632582184,120.72188171131019
157.5948435080748,162.5103402765332,143.3339468338629,156.73520030118573,168.28744723647148,167.38106164818367,152.50968203526807,134.77029282953532,121.87162546947125,117.1372674916378
158.6346460730054,161.58254933352907,141.22810941058572,155.05715402720665,168.13996871051995,167.3730003183507,152.32792933446683,133.22502850493933,119.67022136644299,114.41498238093942
159.72133960888056,160.5359194544759,139.16533217318218,153.64963319580633,167.92497430226982,167.47680858507024,151.70489867202156,131.7622367699508,118.10762656991581,112.85258082797043
160.83958583045705,159.26134390454888,137.59023956995358,152.39197880551964,167.4861894147479,167.55898447935184,150.6736433849476,130.48978529868475,117.11328913377248,112.4176690318419
161.97255218849364,157.89590899696927,136.54399437352444,151.00695758849184,166.80979102160984,167.52816280568376,149.53758384329893,129.26674759550508,116.8364907898348,112.6889722673421
